epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2985,0.67993,4.08751,1.05703,0.01475,1,0.24929,0.21777,0.25784,4.31157,0.84928,8.125e-05,8.125e-05,8.125e-05
2,60.2674,0.60023,3.51529,1.06409,0.02262,1,0.28446,0.26026,0.3241,4.09954,0.85908,0.000168472,0.000168472,0.000168472
3,89.9415,0.63147,2.8976,1.06622,0.65924,0.07152,0.39747,0.36759,0.40875,3.69798,0.89541,0.000255404,0.000255404,0.000255404
4,120.666,0.6131,2.61648,1.04003,0.64492,0.36164,0.56536,0.5141,0.43201,3.51865,0.90359,0.000342048,0.000342048,0.000342048
5,151.357,0.64362,2.33228,1.06098,0.62688,0.79615,0.73609,0.64449,0.4955,3.06839,0.96123,0.000428404,0.000428404,0.000428404
6,182.155,0.70046,2.23175,1.13793,0.56761,0.76525,0.73399,0.68728,0.36915,2.66952,0.88244,0.00051447,0.00051447,0.00051447
7,212.571,0.62959,1.97492,1.04357,0.72778,0.68859,0.79703,0.72415,0.42264,2.47805,0.91104,0.000600248,0.000600248,0.000600248
8,242.262,0.60616,1.91035,1.0468,0.73898,0.79272,0.87818,0.80152,0.42874,2.42927,0.91325,0.000617781,0.000617781,0.000617781
9,272.548,0.7324,1.87592,1.17451,0.88158,0.75426,0.90548,0.84239,0.40622,2.43426,0.90104,0.00061675,0.00061675,0.00061675
10,304.035,0.60793,1.71371,1.03709,0.75021,0.7876,0.91833,0.84528,0.39535,2.45049,0.89049,0.000615719,0.000615719,0.000615719
11,334.565,0.64399,1.8501,1.04211,0.82921,0.64362,0.88099,0.7796,0.43824,2.35182,0.90804,0.000614687,0.000614687,0.000614687
12,365.078,0.66767,1.70807,1.03125,0.70511,0.6486,0.77708,0.72219,0.38128,3.07653,0.88441,0.000613656,0.000613656,0.000613656
13,395.439,0.62042,1.52413,1.01458,0.78851,0.72493,0.84505,0.78671,0.38497,2.61169,0.872,0.000612625,0.000612625,0.000612625
14,426.722,0.55277,1.38657,0.97629,0.77891,0.82782,0.91342,0.83876,0.40482,2.06337,0.88563,0.000611594,0.000611594,0.000611594
15,456.507,0.6128,1.44077,0.98487,0.86734,0.84083,0.92197,0.85206,0.40917,2.01952,0.89228,0.000610562,0.000610562,0.000610562
16,486.314,0.60787,1.41111,1.01533,0.83643,0.88737,0.87279,0.80792,0.38419,1.76993,0.88524,0.000609531,0.000609531,0.000609531
17,516.492,0.56621,1.35076,0.97754,0.89288,0.90445,0.95061,0.88225,0.39693,1.67105,0.88827,0.0006085,0.0006085,0.0006085
18,547.121,0.6256,1.42272,0.9868,0.85987,0.89787,0.96136,0.87873,0.41242,1.82811,0.89456,0.000607469,0.000607469,0.000607469
19,578.199,0.55789,1.29797,0.96314,0.91536,0.92195,0.96698,0.89032,0.3957,1.54883,0.88914,0.000606437,0.000606437,0.000606437
20,609.181,0.55478,1.18664,0.97046,0.84042,0.89576,0.9467,0.86336,0.4367,1.56981,0.93854,0.000605406,0.000605406,0.000605406
21,639.504,0.56719,1.2012,0.9825,0.9285,0.85313,0.9396,0.82996,0.46729,1.66704,0.96882,0.000604375,0.000604375,0.000604375
22,670.684,0.5218,1.11056,0.96335,0.96268,0.89938,0.979,0.89715,0.43175,1.51341,0.89972,0.000603344,0.000603344,0.000603344
23,701.772,0.57234,1.20727,0.98791,0.91867,0.89054,0.97283,0.90854,0.37105,1.38772,0.87591,0.000602312,0.000602312,0.000602312
24,733.174,0.63909,1.15263,0.98444,0.90967,0.962,0.99153,0.93432,0.36275,1.12465,0.86775,0.000601281,0.000601281,0.000601281
25,764,0.55381,1.13465,0.98021,0.93107,0.97128,0.995,0.9331,0.36727,1.07879,0.87521,0.00060025,0.00060025,0.00060025
26,796.13,0.58817,1.249,0.99711,0.92605,0.93788,0.94914,0.89785,0.36215,1.21891,0.87454,0.000599219,0.000599219,0.000599219
27,827.624,0.56988,1.18621,0.98233,0.9354,0.90445,0.96735,0.90515,0.35686,1.17198,0.87609,0.000598187,0.000598187,0.000598187
28,859.041,0.55186,0.98817,0.97227,0.828,0.91146,0.9614,0.88687,0.40083,1.30792,0.8857,0.000597156,0.000597156,0.000597156
29,891.167,0.56978,1.08965,0.98912,0.96105,0.93001,0.99278,0.93844,0.36719,1.08641,0.87681,0.000596125,0.000596125,0.000596125
30,921.511,0.54423,1.02694,0.95688,0.93282,0.89598,0.97434,0.91832,0.35239,1.12914,0.86712,0.000595094,0.000595094,0.000595094
31,951.927,0.57338,0.92612,0.97236,0.91204,0.90292,0.98052,0.92274,0.35797,1.17366,0.86775,0.000594062,0.000594062,0.000594062
32,982.649,0.5789,0.97357,0.98731,0.97566,0.98526,0.995,0.92312,0.38446,0.96657,0.88765,0.000593031,0.000593031,0.000593031
33,1013.15,0.57278,0.90976,0.95742,0.88539,0.94358,0.97994,0.91236,0.36184,1.03935,0.87251,0.000592,0.000592,0.000592
34,1043.61,0.52086,0.93456,0.98876,0.91023,0.86313,0.98467,0.91091,0.37244,1.17967,0.86858,0.000590969,0.000590969,0.000590969
35,1075.37,0.56627,1.00979,0.98491,0.97696,0.94306,0.995,0.93861,0.35305,0.86937,0.86816,0.000589938,0.000589938,0.000589938
36,1107.05,0.58435,0.95671,0.97442,0.98355,0.98384,0.995,0.93196,0.36604,0.87632,0.87376,0.000588906,0.000588906,0.000588906
37,1138.9,0.51955,0.84255,0.94728,0.93192,0.92684,0.98446,0.93819,0.34297,0.93956,0.87267,0.000587875,0.000587875,0.000587875
38,1171.91,0.53052,0.82216,0.92853,0.94558,0.96434,0.98071,0.92231,0.34588,0.8303,0.86359,0.000586844,0.000586844,0.000586844
39,1205.37,0.55819,0.88172,0.97676,0.97552,0.97982,0.995,0.951,0.33684,0.7958,0.86208,0.000585813,0.000585813,0.000585813
40,1238.93,0.52419,0.79238,0.94365,0.90841,0.86442,0.97362,0.91256,0.34799,0.97106,0.8674,0.000584781,0.000584781,0.000584781
41,1272.1,0.54793,0.8276,0.96794,0.94238,0.95101,0.95723,0.90779,0.34543,0.90038,0.86259,0.00058375,0.00058375,0.00058375
42,1306.46,0.51411,0.83407,0.9319,0.96915,0.93484,0.98029,0.93473,0.34512,0.85544,0.85796,0.000582719,0.000582719,0.000582719
43,1342.41,0.51473,0.78829,0.9719,0.94279,0.92376,0.98242,0.94209,0.33221,0.91009,0.85199,0.000581687,0.000581687,0.000581687
44,1379.16,0.54125,0.82319,0.97796,0.8513,0.91957,0.9566,0.89914,0.35651,0.99375,0.86241,0.000580656,0.000580656,0.000580656
45,1414.66,0.51001,0.77588,0.94318,0.97956,0.97467,0.995,0.93861,0.35588,0.73729,0.86187,0.000579625,0.000579625,0.000579625
46,1450.33,0.62557,0.96424,1.09357,0.98128,0.96218,0.99317,0.95658,0.32393,0.73133,0.85501,0.000578594,0.000578594,0.000578594
47,1486.29,0.58188,0.8372,0.97429,0.96839,0.96327,0.98815,0.9235,0.39067,0.77126,0.87883,0.000577563,0.000577563,0.000577563
48,1521.96,0.51497,0.95621,0.88678,0.98227,0.96905,0.98944,0.8495,0.57912,0.87025,0.99279,0.000576531,0.000576531,0.000576531
49,1556.28,0.76532,0.92865,1.13312,0.96156,0.97996,0.99375,0.92673,0.37494,0.72969,0.87755,0.0005755,0.0005755,0.0005755
50,1591.21,0.53726,0.76265,0.97022,0.95366,0.96705,0.9886,0.92754,0.38557,0.70333,0.8715,0.000574469,0.000574469,0.000574469
