epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.891,0.65819,3.62226,1.14123,0.16773,0.27331,0.21477,0.20575,0.3295,11.444,0.88122,8.125e-05,8.125e-05,8.125e-05
2,307.955,0.57089,2.21143,1.09084,0.71828,0.57793,0.75993,0.73105,0.31466,2.87843,0.86574,0.000168472,0.000168472,0.000168472
3,456.889,0.58435,1.71772,1.05485,0.80841,0.83435,0.90874,0.82447,0.39324,2.48182,0.90292,0.000255404,0.000255404,0.000255404
4,604.655,0.60157,1.49631,1.04132,0.73032,0.74735,0.77628,0.65107,0.58065,2.90669,1.0677,0.000342048,0.000342048,0.000342048
5,753.136,0.61428,1.34007,1.06074,0.82142,0.77942,0.92061,0.81373,0.52507,4.11591,1.00834,0.000428404,0.000428404,0.000428404
6,901.55,0.74049,1.27659,1.18091,0.52038,0.64405,0.60207,0.51222,0.65595,2.03526,1.13971,0.00051447,0.00051447,0.00051447
7,1049.59,0.70854,1.32968,1.08608,0.62127,0.65649,0.71809,0.63556,0.54739,2.16895,1.00064,0.000600248,0.000600248,0.000600248
8,1195.76,0.74994,1.33977,1.10546,0.73576,0.52431,0.59719,0.47074,0.78808,2.27239,1.2406,0.000617781,0.000617781,0.000617781
9,1347.18,0.80778,1.2663,1.25308,0.7449,0.78369,0.7973,0.6477,0.7328,1.82522,1.15433,0.00061675,0.00061675,0.00061675
10,1495.9,0.6783,1.17053,1.08378,0.69431,0.53071,0.64353,0.46822,0.92236,2.49394,1.3556,0.000615719,0.000615719,0.000615719
11,1645.26,0.7246,1.32142,1.11974,0.66444,0.5054,0.59379,0.4897,0.64687,2.72878,1.02372,0.000614687,0.000614687,0.000614687
12,1794.32,0.70709,1.16274,1.07959,0.72755,0.60197,0.63702,0.49147,0.77399,2.89635,1.19485,0.000613656,0.000613656,0.000613656
13,1943.18,0.71043,0.99631,1.09116,0.64813,0.68351,0.76374,0.66138,0.6271,2.77774,1.05622,0.000612625,0.000612625,0.000612625
14,2090.19,0.61794,0.90009,1.05107,0.80606,0.50776,0.71138,0.54856,0.72545,2.46455,1.13691,0.000611594,0.000611594,0.000611594
15,2234.62,0.63597,0.95846,1.06611,0.75928,0.73377,0.77212,0.65669,0.5542,1.7262,1.00586,0.000610562,0.000610562,0.000610562
16,2378.68,0.64844,0.95899,1.0804,0.89035,0.51836,0.73744,0.65771,0.49592,1.33216,0.97085,0.000609531,0.000609531,0.000609531
17,2522.03,0.65657,0.95656,1.07911,0.64228,0.57772,0.69252,0.58317,0.5993,2.78994,1.03817,0.0006085,0.0006085,0.0006085
18,2664.66,0.69754,1.05302,1.08096,0.7641,0.71542,0.80253,0.61849,0.78176,2.59132,1.1991,0.000607469,0.000607469,0.000607469
19,2808.43,0.59288,0.92074,1.04065,0.95401,0.92309,0.96381,0.8714,0.43344,0.66625,0.92126,0.000606437,0.000606437,0.000606437
20,2955.24,0.59563,0.82606,1.03116,0.88213,0.88064,0.94123,0.83896,0.51042,0.81589,0.94854,0.000605406,0.000605406,0.000605406
21,3107.01,0.66305,0.79753,1.08801,0.80972,0.85516,0.9254,0.83406,0.47422,0.91392,0.93614,0.000604375,0.000604375,0.000604375
22,3266.76,0.59854,0.77581,1.06783,0.74355,0.6869,0.71525,0.60095,0.65478,2.2109,1.05299,0.000603344,0.000603344,0.000603344
23,3430.39,0.6629,0.84086,1.05784,0.85589,0.83454,0.89803,0.78484,0.54459,0.81649,0.99453,0.000602312,0.000602312,0.000602312
24,3600.01,0.67433,0.94091,1.05532,0.92292,0.74146,0.86107,0.74276,0.51227,1.43869,0.98094,0.000601281,0.000601281,0.000601281
25,3766.76,0.63148,0.77139,1.06787,0.88373,0.81307,0.9304,0.85873,0.43262,0.75285,0.93231,0.00060025,0.00060025,0.00060025
26,3930.31,0.65948,0.92697,1.09399,0.77129,0.8611,0.91398,0.829,0.45345,0.79316,0.94586,0.000599219,0.000599219,0.000599219
27,4099.24,0.59752,0.75482,1.04515,0.90407,0.90349,0.97276,0.89213,0.43186,0.65398,0.91664,0.000598187,0.000598187,0.000598187
28,4269.21,0.6117,0.72873,1.0709,0.94129,0.85888,0.96017,0.87551,0.41867,0.60389,0.92317,0.000597156,0.000597156,0.000597156
29,4438.41,0.63106,0.80173,1.06936,0.95642,0.89062,0.96615,0.89074,0.41103,0.54211,0.90045,0.000596125,0.000596125,0.000596125
